"Figure","xref","reference","ExposureTime","pval","mean_diff","sig"
"FIGURE_4_B.ps","L. crispatus","L. jensenii","22hr",0.988156739692883,0.0392578487499993,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","19hr",0.41894488410134,-1.17362741975,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","16hr",0.395813997501757,-1.14301660525,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","13hr",0.612499088610986,-0.8505973195,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","8hr",0.869816451304362,0.1631025255,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","4hr",0.922148856906445,-0.109786316,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. jensenii","1hr",0.329179689817175,2.51742468525,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. iners","22hr",0.0772572043924384,12.2254861325,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. iners","19hr",0.0906890674715998,11.882039557,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. iners","16hr",0.0647777953546089,7.52234436725,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. iners","13hr",0.0428327675287359,8.85565207225,"*"
"FIGURE_4_B.ps","L. crispatus","L. iners","8hr",0.00622842710015467,5.363584137,"*"
"FIGURE_4_B.ps","L. crispatus","L. iners","4hr",0.833927536365617,-0.3492595645,"N.S."
"FIGURE_4_B.ps","L. crispatus","L. iners","1hr",0.487456897851712,1.70687731025,"N.S."
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","22hr",0.00023328541100013,75.4212631785,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","19hr",0.000115125080466849,75.88921279,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","16hr",0.000674741752288732,67.982052094,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","13hr",0.000138739474299092,59.69264681925,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","8hr",3.39569195035449e-08,44.67174995775,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","4hr",5.46646100321094e-06,20.37872718825,"*"
"FIGURE_4_B.ps","L. crispatus","G. vaginalis","1hr",0.208568100040056,5.93133374383333,"N.S."
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","22hr",0.000542041140483649,70.544967176,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","19hr",0.00101691456011332,68.78692019,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","16hr",0.00155052571701451,62.8256612715,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","13hr",0.00259144930184981,58.34404677925,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","8hr",0.0129656745594518,42.55187611275,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","4hr",0.00562663451960357,25.21669693075,"*"
"FIGURE_4_B.ps","L. crispatus","Cell Culture Medium","1hr",0.364429430731293,-2.71804642283333,"N.S."
"FIGURE_4_B.ps","L. jensenii","L. iners","22hr",0.0788200585370468,12.18622828375,"N.S."
"FIGURE_4_B.ps","L. jensenii","L. iners","19hr",0.0706212665500366,13.05566697675,"N.S."
"FIGURE_4_B.ps","L. jensenii","L. iners","16hr",0.0423664227077353,8.6653609725,"*"
"FIGURE_4_B.ps","L. jensenii","L. iners","13hr",0.0257329361120123,9.70624939175,"*"
"FIGURE_4_B.ps","L. jensenii","L. iners","8hr",0.0101843476536153,5.2004816115,"*"
"FIGURE_4_B.ps","L. jensenii","L. iners","4hr",0.872014071187253,-0.2394732485,"N.S."
"FIGURE_4_B.ps","L. jensenii","L. iners","1hr",0.445386415714396,-0.810547375,"N.S."
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","22hr",0.000355760216136104,75.38200532975,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","19hr",3.55221125551576e-05,77.06284020975,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","16hr",0.000536067923466987,69.12506869925,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","13hr",6.09718603466542e-06,60.54324413875,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","8hr",9.1295889604867e-06,44.50864743225,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","4hr",4.15856126778336e-07,20.48851350425,"*"
"FIGURE_4_B.ps","L. jensenii","G. vaginalis","1hr",0.405307680425452,3.41390905858333,"N.S."
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","22hr",0.00073921429351985,70.50570932725,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","19hr",0.00072788564995901,69.96054760975,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","16hr",0.00132053673005616,63.96867787675,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","13hr",0.00175604568876054,59.19464409875,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","8hr",0.0136724853985474,42.38877358725,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","4hr",0.00657247913720935,25.32648324675,"*"
"FIGURE_4_B.ps","L. jensenii","Cell Culture Medium","1hr",0.0745331385972867,-5.23547110808333,"N.S."
"FIGURE_4_B.ps","L. iners","G. vaginalis","22hr",0.000120727539828595,63.195777046,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","19hr",8.32822371289484e-05,64.007173233,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","16hr",0.000178036099960771,60.45970772675,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","13hr",8.60744746284589e-06,50.836994747,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","8hr",8.50346724307704e-08,39.30816582075,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","4hr",7.42374889531586e-05,20.72798675275,"*"
"FIGURE_4_B.ps","L. iners","G. vaginalis","1hr",0.322907831275689,4.22445643358333,"N.S."
"FIGURE_4_B.ps","L. iners","Cell Culture Medium","22hr",0.000311421372906423,58.3194810435,"*"
